,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
802,80016,23181 E Del Norte Circle,"Aurora, CO 80016","Sep 14, 2018","$679,995","$683,000",Single Family Residential,2017,5514,2,3,Inspiration,Inspiration,"$8,400",Douglas RE-1,3,3,"Crawl Space, Daylight, Full, Bath/Stubbed, Unfinished, Sump Pump",$150,Cash
803,80016,24409 E Fremont Drive,"Aurora, CO 80016","Mar 24, 2021","$600,000","$682,500",Single Family Residential,2002,4776,4,3,Tallyns Reach,Tallyns Reach,"$4,823",Cherry Creek 5,2,2,"Exterior Entry, Full, Interior Entry, Bath/Stubbed, Unfinished, Walk-Out Access",$185,Conventional
804,80016,7860 S Grand Baker Street,"Aurora, CO 80016","Jun 26, 2020","$684,900","$682,500",Single Family Residential,2015,4755,5,5,Whispering Pines,Whispering Pines,"$6,741",Cherry Creek 5,3,3,"Unfinished, Walk-Out Access",,Conventional
805,80016,26156 E Fair Place,"Centennial, CO 80016","May 28, 2019","$675,000","$682,500",Single Family Residential,2007,5048,5,5,Beacon Point,Beacon Point,"$5,306",Cherry Creek 5,3,3,"Daylight, Full, Finished, Heated",$150,Conventional
806,80016,23978 E Caleb Place,"Aurora, CO 80016","Dec 09, 2020","$689,000","$682,000",Single Family Residential,2018,4568,5,4,Rocking Horse,Rocking Horse,"$5,769",Douglas RE-1,3,3,Partial,$294,Conventional
807,80016,25432 E Glasgow Place,"Aurora, CO 80016","May 15, 2020","$669,000","$682,000",Single Family Residential,2006,4877,4,4,Tallyns Reach,Tallyns Reach,"$5,290",Cherry Creek 5,3,3,"Crawl Space, Finished, Bath/Stubbed, Sump Pump",$185,Cash
808,80016,7868 S Valleyhead Way,"Aurora, CO 80016","Apr 26, 2019","$699,950","$682,000",Single Family Residential,2018,4510,4,4,Blackstone,Blackstone,$1,Cherry Creek 5,3,3,"Full, Finished, Sump Pump",$55,Conventional
809,80016,23332 E Glidden Drive,"Aurora, CO 80016","Sep 10, 2018","$675,000","$682,000",Single Family Residential,2017,4481,6,5,Rocking Horse,Rocking Horse,"$4,004",Douglas RE-1,3,3,"Full, Finished, Interior Entry, Heated",$84,Conventional
810,80016,25270 E Ottawa Drive,"Aurora, CO 80016","Oct 25, 2018","$685,000","$681,500",Single Family Residential,2008,5430,5,5,Tallyn's Reach,Tallyn's Reach,"$5,717",Cherry Creek 5,3,3,"Daylight, Full, Finished, Sump Pump",$149,Conventional
811,80016,8175 S Vandriver Way,"Aurora, CO 80016","Aug 22, 2018","$714,100","$681,100",Single Family Residential,2018,4854,4,4,Blackstone Country Club,Blackstone Country Club,"$1,244",Cherry Creek 5,3,3,"Full, Interior Entry, Bath/Stubbed, Unfinished",$190,Conventional
812,80016,7601 S Blackstone Parkway,"Aurora, CO 80016","Jul 08, 2020","$675,000","$681,000",Single Family Residential,2016,5148,4,4,Blackstone Country Club,Blackstone Country Club,"$6,115",Cherry Creek 5,3,3,"Exterior Entry, Full, Bath/Stubbed, Unfinished, Walk-Out Access",$165,Conventional
813,80016,6619 S Waco Way,"Aurora, CO 80016","Jul 07, 2020","$679,000","$680,500",Single Family Residential,1999,4779,6,5,The Farm,The Farm,"$5,666",Cherry Creek 5,3,3,"Full, Finished",$45,Conventional
814,80016,24063 E Euclid Avenue,"Aurora, CO 80016","Aug 07, 2020","$728,836","$680,238",Single Family Residential,2020,4825,5,6,Forest Trace,Forest Trace,"$5,010",Cherry Creek 5,3,3,Full,$80,Conventional
815,80016,6985 S Buchanan Court,"Aurora, CO 80016","Jun 30, 2020","$685,000","$680,000",Single Family Residential,2016,4277,5,5,Tallyn's Reach,Tallyn's Reach,"$6,367",Cherry Creek 5,2,2,"Partial, Sump Pump, Walk-Out Access",$200,"Cash, Conventional, FHA, VA"
816,80016,26908 E Irish Place,"Aurora, CO 80016","Mar 29, 2021","$650,000","$680,000",Single Family Residential,2016,4386,5,4,High Plains Country Club,High Plains Country Club,"$5,876",Cherry Creek 5,3,3,"Full, Finished",$145,Conventional
817,80016,25557 E Glasgow Place,"Aurora, CO 80016","Mar 01, 2021","$645,000","$680,000",Single Family Residential,2008,4199,5,5,Tallyns Reach,Tallyns Reach,"$5,050",Cherry Creek 5,3,3,Full,$185,Conventional
818,80016,27005 E Costilla Drive,"Aurora, CO 80016","Dec 31, 2020","$675,000","$680,000",Single Family Residential,2014,4507,3,4,Southshore,Southshore,"$5,687",Cherry Creek 5,3,3,"Full, Unfinished, Walk-Out Access",$135,Conventional
819,80016,19814 E Caley Drive,"Centennial, CO 80016","Jul 30, 2020","$699,000","$680,000",Single Family Residential,1979,2422,4,3,Piney Creek Ranches 2nd Flg,Piney Creek Ranches 2nd Flg,"$4,316",Cherry Creek 5,3,3,,,Conventional
820,80016,7769 S Valdai Court,"Aurora, CO 80016","Sep 10, 2020","$699,900","$680,000",Single Family Residential,2002,4848,4,4,Heritage Eagle Bend,Heritage Eagle Bend,"$4,306",Cherry Creek 5,2,2,"Full, Finished",$283,Cash
821,80016,26055 E Euclid Drive,"Aurora, CO 80016","Nov 06, 2020","$604,900","$680,000",Single Family Residential,2005,4760,5,4,Beacon Point,Beacon Point,"$4,810",Cherry Creek 5,2,2,"Daylight, Full, Finished",$150,Conventional
822,80016,6985 S Buchanan Court,"Aurora, CO 80016","Jun 30, 2020","$685,000","$680,000",Single Family Residential,2016,4277,5,5,Tallyns Reach,Tallyns Reach,"$6,367",Cherry Creek 5,2,2,"Exterior Entry, Finished, Interior Entry, Partial, Bath/Stubbed, Walk-Out Access, Sump Pump",$200,Conventional
823,80016,22627 Ignacio Place,"Aurora, CO 80016","Mar 25, 2020","$695,000","$680,000",Single Family Residential,2019,4226,2,2,Inspiration,Inspiration,"$6,900",Douglas RE-1,2,2,"Full, Bath/Stubbed, Unfinished, Walk-Out Access, Sump Pump",$167,Conventional
824,80016,23140 E Del Norte Circle,"Aurora, CO 80016","Jan 18, 2019","$700,000","$680,000",Single Family Residential,2018,4248,2,3,Toll Brothers At Inspiration,Toll Brothers At Inspiration,"$3,969",Douglas RE-1,3,3,"Interior Entry, Partial, Bath/Stubbed, Unfinished, Sump Pump",$154,Cash
